ds,microVolt,is_observed
1998-03-01,3.734,True
1998-06-01,4.674,True
1998-09-01,4.562,True
1998-12-01,4.16,True
1999-03-01,4.056,True
1999-06-01,4.052,True
1999-09-01,4.848,True
1999-12-01,5.945,True
2000-03-01,7.041,True
2000-06-01,8.137,True
2000-09-01,9.234,True
2000-12-01,10.33,True
2001-03-01,11.819,True
2001-06-01,12.355,True
2001-09-01,12.838,True
2001-12-01,12.914,True
2002-03-01,13.509,True
2002-06-01,14.057,True
2002-09-01,,False
2002-12-01,14.821,True
2003-03-01,14.45,True
2003-06-01,14.19,True
2003-09-01,14.823,True
2003-12-01,15.983,True
2004-03-01,16.73,True
2004-06-01,17.302,True
2004-09-01,17.946,True
2004-12-01,18.243,True
2005-03-01,18.834,True
2005-06-01,19.378,True
2005-09-01,19.252,True
2005-12-01,19.16,True
2006-03-01,19.001,True
2006-06-01,18.875,True
2006-09-01,18.136,True
2006-12-01,17.807,True
2007-03-01,17.919,True
2007-06-01,18.05,True
2007-09-01,18.145,True
2007-12-01,18.312,True
2008-03-01,18.736,True
2008-06-01,19.472,True
2008-09-01,19.775,True
2008-12-01,20.079,True
2009-03-01,19.942,True
2009-06-01,20.156,True
2009-09-01,20.377,True
2009-12-01,20.617,True
2010-03-01,,False
2010-06-01,,False
2010-09-01,22.236,True
2010-12-01,22.536,True
2011-03-01,21.846,True
2011-06-01,22.442999999999998,True
2011-09-01,23.419,True
2011-12-01,23.736,True
2012-03-01,24.036,True
2012-06-01,24.336,True
2012-09-01,24.109,True
2012-12-01,24.109,True
2013-03-01,24.109,True
2013-06-01,23.711,True
2013-09-01,23.311,True
2013-12-01,23.305,True
2014-03-01,23.698,True
2014-06-01,24.094,True
2014-09-01,24.677,True
2014-12-01,24.755,True
2015-03-01,24.855,True
2015-06-01,24.455,True
2015-09-01,24.455,True
2015-12-01,25.155,True
2016-03-01,25.255,True
2016-06-01,25.355,True
2016-09-01,25.525,True
2016-12-01,25.555,True
2017-03-01,26.055,True
2017-06-01,26.755,True
2017-09-01,27.503,True
2017-12-01,27.831,True
2018-03-01,27.308,True
2018-06-01,27.208,True
2018-09-01,26.831,True
2018-12-01,26.731,True
2019-03-01,26.076,True
2019-06-01,25.699,True
2019-09-01,25.621,True
2019-12-01,25.712,True
2020-03-01,26.182,True
2020-06-01,26.182,True
2020-09-01,26.3,True
2020-12-01,26.7,True
2021-03-01,27.0,True
2021-06-01,27.51,True
2021-09-01,27.9,True
2021-12-01,28.2,True
2022-03-01,28.7,True
2022-06-01,29.31,True
2022-09-01,29.009,True
2022-12-01,29.334,True
2023-03-01,29.26,True
2023-06-01,29.15,True
2023-09-01,29.246,True
2023-12-01,29.55,True
2024-03-01,29.9,True
2024-06-01,30.506,True
2024-09-01,30.707,True
2024-12-01,31.319,True
2025-03-01,31.932,True
2025-06-01,32.0,True
