Month,Year,microVolt
3,1998,69.03
6,1998,71.27
9,1998,73.27
12,1998,76.2
3,1999,77.57
6,1999,79.14
9,1999,81.14
12,1999,83.14
3,2000,85.28
6,2000,86.79
9,2000,87.49
12,2000,89.91
3,2001,90.91
6,2001,92.8
9,2001,94.74
12,2001,96.94
3,2002,97.98
6,2002,99.28
12,2002,102.29
3,2003,103.23
6,2003,104.25
9,2003,105.25
12,2003,106.43
3,2004,107.14
6,2004,108
9,2004,109.03
12,2004,110.25
3,2005,112.82
6,2005,113.91
9,2005,115.07
12,2005,116.35
3,2006,117.98
6,2006,118.91
9,2006,119.19
12,2006,120.48
3,2007,121.28
6,2007,122.68
9,2007,123.16
12,2007,124.91
3,2008,125.81
6,2008,127.32
9,2008,128.62
12,2008,130.1
3,2009,131.02
6,2009,131.92
9,2009,132.76
12,2009,133.78
3,2011,134.7
6,2011,135.62
9,2010,136.38
12,2010,136.83
3,2011,137.24
6,2011,138.15
9,2011,139.05
12,2011,139.48
3,2012,139.83
6,2012,140.48
9,2012,141.48
12,2012,142.75
3,2013,143.22
6,2013,143.42
9,2013,144.62
12,2013,145.83
3,2014,147.03
6,2014,148.56
9,2014,149.1
12,2014,149.18
3,2015,150.55
6,2015,150.95
9,2015,151.35
12,2015,151.75
3,2016,152.15
6,2016,152.74
9,2016,153.34
12,2016,153.94
3,2017,154.53
6,2017,154.6
9,2017,155.02
12,2017,155.45
3,2018,156.78
6,2018,155.35
9,2018,156.1
12,2018,156.85
3,2019,159.14
6,2019,157.33
9,2019,158.38
12,2019,159.43
3,2020,160.48
6,2020,161.53
9,2020,162.58
12,2020,163.03
3,2021,163.49
6,2021,164.45
9,2021,163.76
12,2021,164.59
3,2022,165.43
6,2022,166.26
9,2022,166.04
12,2022,166.61
3,2023,167.17
6,2023,167.73
9,2023,168.3
12,2023,168.86
5,2024,169.9
5,2025,171.6
