ds,Volt,microVolt
01/03/1998,10.00000373,3.73400
01/06/1998,10.00000467,4.67400
01/09/1998,10.00000456,4.56200
01/12/1998,10.00000416,4.16000
01/03/1999,10.00000406,4.05600
01/06/1999,10.00000405,4.05200
01/09/1999,10.00000485,4.84800
01/12/1999,10.00000595,5.94500
01/03/2000,10.00000704,7.04100
01/06/2000,10.00000814,8.13700
01/09/2000,10.00000923,9.23400
01/12/2000,10.00001033,10.33000
01/03/2001,10.00001182,11.81900
01/06/2001,10.00001236,12.35500
01/09/2001,10.00001284,12.83800
01/12/2001,10.00001291,12.91400
01/03/2002,10.00001351,13.50900
01/06/2002,10.00001406,14.05700
01/12/2002,10.00001482,14.82100
01/03/2003,10.00001445,14.45000
01/06/2003,10.00001419,14.19000
01/09/2003,10.00001482,14.82300
01/12/2003,10.00001598,15.98300
01/03/2004,10.00001673,16.73000
01/06/2004,10.0000173,17.30200
01/09/2004,10.00001795,17.94600
01/12/2004,10.00001824,18.24300
01/03/2005,10.00001883,18.83400
01/06/2005,10.00001938,19.37800
01/09/2005,10.00001925,19.25200
01/12/2005,10.00001916,19.16000
01/03/2006,10.000019,19.00100
01/06/2006,10.00001888,18.87500
01/09/2006,10.00001814,18.13600
01/12/2006,10.00001781,17.80700
01/03/2007,10.00001792,17.91900
01/06/2007,10.00001805,18.05000
01/09/2007,10.00001815,18.14500
01/12/2007,10.00001831,18.31200
01/03/2008,10.00001874,18.73600
01/06/2008,10.00001947,19.47200
01/09/2008,10.00001978,19.77500
01/12/2008,10.00002008,20.07900
01/03/2009,10.00001994,19.94200
01/06/2009,10.00002016,20.15600
01/09/2009,10.00002038,20.37700
01/12/2009,10.00002062,20.61700
01/03/2011,10.00002086,20.85600
01/06/2011,10.00002175,21.75000
01/09/2010,10.00002224,22.23600
01/12/2010,10.00002254,22.53600
01/03/2011,10.00002284,22.83600
01/06/2011,10.00002314,23.13600
01/09/2011,10.00002342,23.41900
01/12/2011,10.00002374,23.73600
01/03/2012,10.00002404,24.03600
01/06/2012,10.00002434,24.33600
01/09/2012,10.00002411,24.10900
01/12/2012,10.00002411,24.10900
01/03/2013,10.00002411,24.10900
01/06/2013,10.00002371,23.71100
01/09/2013,10.00002331,23.31100
01/12/2013,10.00002331,23.30500
01/03/2014,10.0000237,23.69800
01/06/2014,10.00002409,24.09400
01/09/2014,10.00002468,24.67700
01/12/2014,10.00002476,24.75500
01/03/2015,10.00002486,24.85500
01/06/2015,10.00002446,24.45500
01/09/2015,10.00002446,24.45500
01/12/2015,10.00002516,25.15500
01/03/2016,10.00002526,25.25500
01/06/2016,10.00002536,25.35500
01/09/2016,10.00002553,25.52500
01/12/2016,10.00002556,25.55500
01/03/2017,10.00002606,26.05500
01/06/2017,10.00002676,26.75500
01/09/2017,10.0000275,27.50300
01/12/2017,10.00002783,27.83100
01/03/2018,10.00002731,27.30800
01/06/2018,10.00002721,27.20800
01/09/2018,10.00002683,26.83100
01/12/2018,10.00002673,26.73100
01/03/2019,10.00002608,26.07600
01/06/2019,10.0000257,25.69900
01/09/2019,10.00002562,25.62100
01/12/2019,10.00002571,25.71200
01/03/2020,10.00002618,26.18200
01/06/2020,10.00002618,26.18200
01/09/2020,10.0000263,26.30000
01/12/2020,10.0000267,26.70000
01/03/2021,10.000027,27.00000
01/06/2021,10.00002751,27.51000
01/09/2021,10.0000279,27.90000
01/12/2021,10.0000282,28.20000
01/03/2022,10.0000287,28.70000
01/06/2022,10.00002931,29.31000
01/09/2022,10.00002901,29.00900
01/12/2022,10.00002933,29.33400
01/03/2023,10.00002926,29.26000
01/06/2023,10.00002915,29.15000
01/09/2023,10.00002925,29.24600
01/12/2023,10.00002955,29.55000
01/03/2024,10.0000299,29.90000
01/06/2024,10.00003051,30.50600
01/09/2024,10.00003071,30.70700
01/12/2024,10.00003132,31.31900
01/03/2025,10.00003193,31.93200
01/06/2025,10.000032,32.00000
